,Date,Price,Open,High,Low,Vol.,Change %
895,10/28/14,"1,985.05","1,964.14","1,985.05","1,964.14",-,1.19%
896,10/27/14,"1,961.63","1,962.97","1,964.64","1,951.37",-,-0.15%
897,10/24/14,"1,964.58","1,951.59","1,965.27","1,946.27",-,0.71%
898,10/23/14,"1,950.82","1,931.02","1,961.95","1,931.02",-,1.23%
899,10/22/14,"1,927.11","1,941.29","1,949.31","1,926.83",-,-0.73%
900,10/21/14,"1,941.28","1,909.38","1,942.45","1,909.38",-,1.96%
901,10/20/14,"1,904.01","1,885.62","1,905.03","1,882.30",-,0.91%
902,10/17/14,"1,886.76","1,864.91","1,898.16","1,864.91",-,1.29%
903,10/16/14,"1,862.76","1,855.95","1,876.01","1,835.02",-,0.01%
904,10/15/14,"1,862.49","1,874.18","1,874.18","1,820.66",-,-0.81%
905,10/14/14,"1,877.70","1,877.11","1,898.71","1,871.79",-,0.16%
906,10/13/14,"1,874.74","1,905.65","1,912.09","1,874.14",-,-1.65%
907,10/10/14,"1,906.13","1,925.63","1,936.98","1,906.05",-,-1.15%
908,10/9/14,"1,928.21","1,967.68","1,967.68","1,927.56",-,-2.07%
909,10/8/14,"1,968.89","1,935.55","1,970.36","1,925.25",-,1.75%
910,10/7/14,"1,935.10","1,962.36","1,962.36","1,934.87",-,-1.51%
911,10/6/14,"1,964.82","1,970.01","1,977.84","1,958.43",-,-0.16%
912,10/3/14,"1,967.90","1,948.12","1,971.19","1,948.12",-,1.12%
913,10/2/14,"1,946.17","1,945.83","1,952.32","1,926.03",-,0.00%
914,10/1/14,"1,946.16","1,971.44","1,971.44","1,941.72",-,-1.32%
915,9/30/14,"1,972.29","1,978.21","1,985.17","1,968.96",-,-0.28%
916,9/29/14,"1,977.80","1,978.96","1,981.28","1,964.04",-,-0.25%
917,9/26/14,"1,982.85","1,966.22","1,986.37","1,966.22",-,0.86%
918,9/25/14,"1,965.99","1,997.32","1,997.32","1,965.99",-,-1.62%
919,9/24/14,"1,998.30","1,983.34","1,999.79","1,978.63",-,0.78%
920,9/23/14,"1,982.77","1,992.78","1,995.41","1,982.77",-,-0.58%
921,9/22/14,"1,994.29","2,009.08","2,009.08","1,991.01",-,-0.80%
922,9/19/14,"2,010.40","2,012.74","2,019.26","2,006.59",-,-0.05%
923,9/18/14,"2,011.36","2,003.07","2,012.34","2,003.07",-,0.49%
924,9/17/14,"2,001.57","1,999.30","2,010.74","1,993.29",-,0.13%
925,9/16/14,"1,998.98","1,981.93","2,002.28","1,979.06",-,0.75%
926,9/15/14,"1,984.13","1,986.04","1,987.18","1,978.48",-,-0.07%
927,9/12/14,"1,985.54","1,996.74","1,996.74","1,980.26",-,-0.60%
928,9/11/14,"1,997.45","1,992.85","1,997.65","1,985.93",-,0.09%
929,9/10/14,"1,995.69","1,988.41","1,996.66","1,982.99",-,0.36%
930,9/9/14,"1,988.44","2,000.73","2,001.01","1,984.61",-,-0.65%
931,9/8/14,"2,001.54","2,007.17","2,007.17","1,995.60",-,-0.31%
932,9/5/14,"2,007.71","1,998.00","2,007.71","1,990.10",-,0.50%
933,9/4/14,"1,997.65","2,001.67","2,011.17","1,992.54",-,-0.15%
934,9/3/14,"2,000.72","2,003.57","2,009.28","1,998.14",-,-0.08%
935,9/2/14,"2,002.28","2,004.07","2,006.12","1,994.85",-,-0.05%
936,8/29/14,"2,003.37","1,998.45","2,003.38","1,994.65",-,0.33%
937,8/28/14,"1,996.74","1,997.42","1,998.55","1,990.52",-,-0.17%
938,8/27/14,"2,000.12","2,000.54","2,002.14","1,996.20",-,0.00%
939,8/26/14,"2,000.02","1,998.59","2,005.04","1,998.59",-,0.11%
940,8/25/14,"1,997.92","1,991.74","2,001.95","1,991.74",-,0.48%
941,8/22/14,"1,988.40","1,992.60","1,993.54","1,984.76",-,-0.20%
942,8/21/14,"1,992.37","1,986.82","1,994.76","1,986.82",-,0.29%
943,8/20/14,"1,986.51","1,980.46","1,988.57","1,977.68",-,0.25%
944,8/19/14,"1,981.60","1,972.73","1,982.57","1,972.73",-,0.50%
945,8/18/14,"1,971.74","1,958.36","1,971.99","1,958.36",-,0.85%
946,8/15/14,"1,955.06","1,958.87","1,964.04","1,941.50",-,-0.01%
947,8/14/14,"1,955.18","1,947.41","1,955.23","1,947.41",-,0.43%
948,8/13/14,"1,946.72","1,935.60","1,948.41","1,935.60",-,0.67%
949,8/12/14,"1,933.75","1,935.73","1,939.65","1,928.29",-,-0.16%
950,8/11/14,"1,936.92","1,933.43","1,944.90","1,933.43",-,0.28%
951,8/8/14,"1,931.59","1,910.35","1,932.38","1,909.01",-,1.15%
952,8/7/14,"1,909.57","1,923.03","1,928.89","1,904.78",-,-0.56%
953,8/6/14,"1,920.24","1,917.29","1,927.91","1,911.45",-,0.00%
954,8/5/14,"1,920.21","1,936.34","1,936.34","1,913.77",-,-0.97%
955,8/4/14,"1,938.99","1,926.62","1,942.92","1,921.20",-,0.72%
956,8/1/14,"1,925.15","1,929.80","1,937.35","1,916.37",-,-0.29%
957,7/31/14,"1,930.67","1,965.14","1,965.14","1,930.67",-,-2.00%
958,7/30/14,"1,970.07","1,973.21","1,978.90","1,962.42",-,0.01%
959,7/29/14,"1,969.95","1,980.03","1,984.85","1,969.95",-,-0.45%
960,7/28/14,"1,978.91","1,978.25","1,981.52","1,967.31",-,0.03%
961,7/25/14,"1,978.34","1,984.60","1,984.60","1,974.37",-,-0.48%
962,7/24/14,"1,987.98","1,988.07","1,991.39","1,985.79",-,0.05%
963,7/23/14,"1,987.01","1,985.32","1,989.23","1,982.44",-,0.18%
964,7/22/14,"1,983.53","1,975.65","1,986.24","1,975.65",-,0.50%
965,7/21/14,"1,973.63","1,976.93","1,976.93","1,965.77",-,-0.23%
966,7/18/14,"1,978.22","1,961.54","1,979.91","1,960.82",-,1.03%
967,7/17/14,"1,958.12","1,979.75","1,981.80","1,955.59",-,-1.18%
968,7/16/14,"1,981.57","1,976.35","1,983.94","1,975.67",-,0.42%
969,7/15/14,"1,973.28","1,977.36","1,982.52","1,965.34",-,-0.19%
970,7/14/14,"1,977.10","1,969.86","1,979.85","1,969.86",-,0.48%
971,7/11/14,"1,967.57","1,965.76","1,968.67","1,959.63",-,0.15%
972,7/10/14,"1,964.68","1,966.67","1,969.84","1,952.86",-,-0.41%
973,7/9/14,"1,972.83","1,965.10","1,974.15","1,965.10",-,0.46%
974,7/8/14,"1,963.71","1,976.39","1,976.39","1,959.46",-,-0.70%
975,7/7/14,"1,977.65","1,984.22","1,984.22","1,974.88",-,-0.39%
976,7/3/14,"1,985.44","1,975.88","1,985.59","1,975.88",-,0.55%
977,7/2/14,"1,974.62","1,973.06","1,976.67","1,972.58",-,0.07%
978,7/1/14,"1,973.32","1,962.29","1,978.58","1,962.29",-,0.67%
979,6/30/14,"1,960.23","1,960.79","1,964.24","1,958.22",-,-0.04%
980,6/27/14,"1,960.96","1,956.56","1,961.47","1,952.18",-,0.19%
981,6/26/14,"1,957.22","1,959.89","1,959.89","1,944.69",-,-0.12%
982,6/25/14,"1,959.53","1,949.27","1,960.83","1,947.49",-,0.49%
983,6/24/14,"1,949.98","1,961.97","1,968.17","1,948.34",-,-0.64%
984,6/23/14,"1,962.61","1,962.92","1,963.74","1,958.89",-,-0.01%
985,6/20/14,"1,962.87","1,960.45","1,963.91","1,959.17",-,0.17%
986,6/19/14,"1,959.48","1,957.50","1,959.87","1,952.26",-,0.13%
987,6/18/14,"1,956.98","1,942.73","1,957.74","1,939.29",-,0.77%
988,6/17/14,"1,941.99","1,937.15","1,943.69","1,933.55",-,0.22%
989,6/16/14,"1,937.78","1,934.84","1,941.15","1,930.91",-,0.08%
990,6/13/14,"1,936.16","1,930.80","1,937.30","1,927.69",-,0.31%
991,6/12/14,"1,930.11","1,943.35","1,943.35","1,925.78",-,-0.71%
992,6/11/14,"1,943.89","1,949.37","1,949.37","1,940.08",-,-0.35%
993,6/10/14,"1,950.79","1,950.34","1,950.86","1,944.64",-,-0.02%
994,6/9/14,"1,951.27","1,948.97","1,955.55","1,947.16",-,0.09%
995,6/6/14,"1,949.44","1,942.41","1,949.44","1,942.41",-,0.46%
996,6/5/14,"1,940.46","1,928.52","1,941.74","1,922.93",-,0.65%
997,6/4/14,"1,927.88","1,923.06","1,928.63","1,918.60",-,0.19%
998,6/3/14,"1,924.24","1,923.07","1,925.07","1,918.79",-,-0.04%
999,6/2/14,"1,924.97","1,923.87","1,925.88","1,915.98",-,0.07%
1000,5/30/14,"1,923.57","1,920.33","1,924.03","1,916.64",-,0.18%
1001,5/29/14,"1,920.03","1,910.60","1,920.03","1,909.82",-,0.54%
1002,5/28/14,"1,909.78","1,911.77","1,914.46","1,907.30",-,-0.11%
1003,5/27/14,"1,911.91","1,902.01","1,912.28","1,902.01",-,0.60%
1004,5/23/14,"1,900.53","1,893.32","1,901.26","1,893.32",-,0.42%
1005,5/22/14,"1,892.49","1,888.19","1,896.33","1,885.39",-,0.24%
1006,5/21/14,"1,888.03","1,873.34","1,888.80","1,873.34",-,0.81%
1007,5/20/14,"1,872.83","1,884.88","1,884.88","1,868.14",-,-0.65%
1008,5/19/14,"1,885.08","1,876.66","1,886.00","1,872.42",-,0.38%
1009,5/16/14,"1,877.86","1,871.19","1,878.28","1,864.82",-,0.37%
1010,5/15/14,"1,870.85","1,888.16","1,888.16","1,862.36",-,-0.94%
1011,5/14/14,"1,888.53","1,897.13","1,897.13","1,885.77",-,-0.47%
1012,5/13/14,"1,897.45","1,896.75","1,902.17","1,896.06",-,0.04%
1013,5/12/14,"1,896.65","1,880.03","1,897.13","1,880.03",-,0.97%
1014,5/9/14,"1,878.48","1,875.27","1,878.57","1,867.02",-,0.15%
1015,5/8/14,"1,875.63","1,877.39","1,889.07","1,870.05",-,-0.14%
1016,5/7/14,"1,878.21","1,868.53","1,878.83","1,859.79",-,0.56%
1017,5/6/14,"1,867.72","1,883.69","1,883.69","1,867.72",-,-0.90%
1018,5/5/14,"1,884.66","1,879.45","1,885.51","1,866.77",-,0.19%
1019,5/2/14,"1,881.14","1,885.30","1,891.33","1,878.50",-,-0.13%
1020,5/1/14,"1,883.68","1,884.39","1,888.59","1,878.04",-,-0.01%
1021,4/30/14,"1,883.95","1,877.10","1,885.20","1,872.69",-,0.30%
1022,4/29/14,"1,878.33","1,870.78","1,880.60","1,870.78",-,0.48%
1023,4/28/14,"1,869.43","1,865.00","1,877.01","1,850.61",-,0.32%
1024,4/25/14,"1,863.40","1,877.72","1,877.72","1,859.70",-,-0.81%
1025,4/24/14,"1,878.61","1,881.97","1,884.06","1,870.24",-,0.17%
1026,4/23/14,"1,875.39","1,879.32","1,879.75","1,873.91",-,-0.22%
1027,4/22/14,"1,879.55","1,872.57","1,884.89","1,872.57",-,0.41%
1028,4/21/14,"1,871.89","1,865.79","1,871.89","1,863.18",-,0.38%
